Município de notificação;Em Branco/ign;Semana 01;Semana 02;Semana 03;Semana 04;Semana 05;Semana 06;Semana 07;Semana 08;Semana 09;Semana 10;Semana 11;Semana 12;Semana 13;Semana 14;Semana 15;Semana 16;Semana 17;Semana 18;Semana 19;Semana 20;Semana 21;Semana 22;Semana 23;Semana 24;Semana 25;Semana 26;Semana 27;Semana 28;Semana 29;Semana 30;Semana 31;Semana 32;Semana 33;Semana 34;Semana 35;Semana 36;Semana 37;Semana 38;Semana 39;Semana 40;Semana 41;Semana 42;Semana 43;Semana 44;Semana 45;Semana 46;Semana 47;Semana 48;Semana 49;Semana 50;Semana 51;Semana 52;Semana 53;Total
260790 JABOATAO DOS GUARARAPES;-;1;2;-;2;1;1;1;2;1;1;-;2;1;1;1;-;1;-;-;5;1;4;3;7;6;9;22;9;10;7;4;2;4;11;13;18;20;11;19;20;14;25;42;31;39;49;38;49;28;17;32;6;9;602
260795 JAQUEIRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
260800 JATAUBA;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
260805 JATOBA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
260810 JOAO ALFREDO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
260845 LAGOA DO CARRO;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
260850 LAGOA DE ITAENGA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
260860 LAGOA DO OURO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;10;6;26;12;17;21;26;12;11;9;19;6;3;5;4;-;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;195
260870 LAGOA DOS GATOS;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
260875 LAGOA GRANDE;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;3;-;1;-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
260880 LAJEDO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
260890 LIMOEIRO;1;-;1;-;3;-;2;-;4;5;-;2;-;4;-;-;1;-;1;-;-;3;4;1;2;-;5;2;1;-;-;-;3;2;-;2;3;-;-;1;2;-;-;1;-;1;-;1;-;1;1;-;1;2;63
260900 MACAPARANA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;8
260910 MACHADOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
260915 MANARI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
260930 MIRANDIBA;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;8;1;2;-;3;6;3;11;18;14;3;4;7;22;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;109
260940 MORENO;-;-;-;-;-;5;-;3;2;1;-;-;-;-;-;-;2;-;-;-;-;-;2;2;-;5;-;5;1;1;-;4;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;42
260960 OLINDA;-;3;4;1;2;14;3;5;6;2;14;17;10;18;8;12;12;14;16;13;5;4;9;6;5;2;3;3;2;8;3;8;3;5;5;2;2;2;1;2;2;3;3;4;-;-;1;1;-;-;-;-;1;2;271
260980 OROCO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
260990 OURICURI;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
261000 PALMARES;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;2;-;-;-;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
261020 PANELAS;-;-;-;-;-;-;1;11;7;2;11;4;1;12;12;6;16;8;9;-;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;104
261040 PARNAMIRIM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;2;-;3;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
261050 PASSIRA;-;3;3;1;-;3;11;3;3;5;3;-;2;2;2;1;2;6;5;3;1;4;1;1;4;5;7;6;4;7;10;12;3;4;4;1;2;-;3;3;4;3;8;4;3;6;4;4;2;8;5;4;4;3;202
261060 PAUDALHO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;3;1;1;-;-;1;-;1;-;1;-;-;-;-;1;-;-;-;-;11
261070 PAULISTA;-;-;-;-;5;4;12;10;17;11;2;3;6;-;3;1;13;4;3;3;3;5;3;5;15;14;2;13;18;28;24;24;20;13;9;9;15;20;4;8;4;4;12;2;11;9;11;8;3;7;3;6;11;6;446
261080 PEDRA;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;1;-;4;-;3;-;2;2;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
261090 PESQUEIRA;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
261100 PETROLANDIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;2;-;-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
261110 PETROLINA;-;1;-;1;1;4;7;2;4;9;4;-;17;24;36;44;43;65;43;37;63;68;66;51;35;35;15;28;21;24;12;3;4;6;4;1;2;4;-;5;2;2;1;1;1;1;1;1;4;2;5;3;2;4;819
261130 POMBOS;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
261140 PRIMAVERA;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
261153 QUIXABA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
261160 RECIFE;10;17;23;16;24;19;28;26;22;27;15;30;30;32;20;35;35;36;44;63;66;64;61;68;71;54;45;38;37;35;40;32;31;33;22;21;28;24;23;32;33;34;19;30;51;46;46;76;78;64;97;62;91;105;2209
261180 RIBEIRAO;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
261190 RIO FORMOSO;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
261220 SALGUEIRO;-;4;-;2;3;14;8;14;13;15;24;31;65;99;95;114;72;100;108;138;137;138;99;90;60;47;27;12;10;15;12;4;2;2;1;2;1;-;-;-;3;-;2;2;-;-;1;-;-;-;3;2;1;-;1592
261240 SANHARO;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;4;-;-;1;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;2;-;-;-;-;16
261247 SANTA CRUZ DA BAIXA VERDE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;1;1;1;-;-;1;-;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
261250 SANTA CRUZ DO CAPIBARIBE;-;1;-;-;1;1;1;-;-;2;1;-;-;2;-;-;-;-;1;2;2;-;4;-;1;-;-;-;-;1;-;-;-;-;1;-;4;2;2;7;2;-;-;-;-;-;3;-;-;-;-;1;-;-;42
261260 SANTA MARIA DA BOA VISTA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
261270 SANTA MARIA DO CAMBUCA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
261300 SAO BENTO DO UNA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
261310 SAO CAITANO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
261330 SAO JOAQUIM DO MONTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
261340 SAO JOSE DA COROA GRANDE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
261350 SAO JOSE DO BELMONTE;-;-;-;-;-;-;-;1;10;-;-;8;2;7;2;3;2;2;1;4;-;15;5;3;19;6;3;1;5;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;103
261360 SAO JOSE DO EGITO;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;3;2;-;7;6;9;1;10;-;3;1;2;4;-;1;1;2;-;-;1;1;-;-;-;-;2;-;-;1;1;-;1;-;-;-;-;62
261370 SAO LOURENCO DA MATA;-;-;-;-;-;-;-;2;2;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;1;5;21
261380 SAO VICENTE FERRER;-;-;-;-;-;-;3;1;-;1;4;1;-;4;1;2;-;1;4;10;19;19;8;6;9;5;7;4;2;8;5;5;1;1;-;-;1;-;-;-;2;-;-;2;-;1;-;-;-;-;-;1;-;-;138
261390 SERRA TALHADA;-;-;-;1;-;-;2;-;3;1;-;1;1;-;-;4;2;3;3;4;1;2;6;2;4;2;2;-;-;-;2;1;2;1;-;-;-;1;-;1;-;-;1;1;1;-;-;-;-;1;-;1;-;-;57
261400 SERRITA;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;1;6;1;2;7;5;3;1;7;6;4;3;3;3;3;1;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;63
261410 SERTANIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
261420 SIRINHAEM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;19;4;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33
261430 MOREILANDIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
261440 SOLIDAO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
261450 SURUBIM;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;1;1;-;2;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
261460 TABIRA;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;1;1;1;1;2;-;1;3;1;1;4;2;2;1;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;32
261470 TACAIMBO;-;-;-;4;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8
261485 TAMANDARE;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;11
261500 TAQUARITINGA DO NORTE;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;8
261510 TEREZINHA;-;-;-;-;-;-;1;-;1;-;1;2;1;2;2;1;1;2;9;14;5;2;6;1;2;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56
261520 TERRA NOVA;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;4;-;-;1;1;-;2;2;-;-;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
261530 TIMBAUBA;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
261540 TORITAMA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;2;2;-;2;-;1;-;4;2;-;-;-;20
261550 TRACUNHAEM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
261560 TRINDADE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
261570 TRIUNFO;-;-;1;-;1;-;-;2;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;12
261580 TUPANATINGA;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;7;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
261610 VERDEJANTE;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;8;4;1;1;6;1;4;9;5;4;1;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54
261618 VERTENTE DO LERIO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
261620 VERTENTES;-;-;-;-;-;2;1;1;1;1;4;12;3;3;2;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;-;5;1;-;-;-;-;1;-;-;1;-;6;1;-;-;-;-;-;-;1;-;-;-;50
261630 VICENCIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;4;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
261640 VITORIA DE SANTO ANTAO;-;-;1;-;1;-;1;-;-;-;-;-;1;-;-;1;-;2;1;2;1;-;2;-;1;-;-;1;-;-;2;-;2;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;22
261650 XEXEU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
Total;19;52;60;59;70;112;129;114;128;118;110;166;188;273;262;333;347;334;383;456;459;498;464;407;402;365;226;266;241;253;204;166;134;140;103;92;113;105;74;104;97;84;101;108;122;143;156;162;169;151;196;179;163;162;10522
""
